Количество элементов,С разбиением Ломуто,С разбиением Хоара/pivot – последний,С разбиением Хоара/pivot – случайный,С разбиением Хоара/pivot – медиана,С оптимизацией partition,С одной рекурсивной веткой,Без рекурсии,С опимизации концевой рекурсии
100000,32,24,26,20,16,18,35,15,
200000,48,39,47,41,33,38,69,32,
300000,81,60,68,61,50,62,105,50,
400000,101,82,91,80,67,79,141,69,
500000,130,103,114,99,84,98,172,84,
600000,158,121,136,121,101,118,209,104,
700000,190,145,162,144,118,143,252,124,
800000,220,169,184,166,137,162,283,140,
900000,247,190,211,187,161,184,322,162,
1000000,276,212,233,212,172,207,361,181,
1100000,304,237,262,233,190,235,414,207,
1200000,335,264,286,255,209,253,433,220,
1300000,363,282,307,278,228,273,469,240,
1400000,393,306,335,301,247,296,507,259,
1500000,411,330,363,324,264,321,545,280,
